artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama
DJ Khaled,I Wanna Be With You,Suffering from Success,2013,Obama,46.5,"34,235",26.2,14.2,ouple pieces mannequingot big billboard madisonat trump bitches radissongot 22 me thinshoot movies j,
DJ Khaled,I Wanna Be With You,Suffering from Success,2013,Obama,46.5,"33,307",26.2,14.2,ouple pieces mannequingot big billboard madisonat trump bitches radissongot 22 me thinshoot movies j,
Jon Cozart,After Ever After,After Ever After,2013,Obama,46.5,"34,235",26.2,14.2,,one put fusswere freedom genie vouch usbush crazy obamas lazy alqaedas countryset free prince alia w
Jon Cozart,After Ever After,After Ever After,2013,Obama,46.5,"33,307",26.2,14.2,,one put fusswere freedom genie vouch usbush crazy obamas lazy alqaedas countryset free prince alia w
Kelly Rowland,Street Life,Talk a Good Game,2013,Obama,46.5,"34,235",26.2,14.2,,s never keep promisethis presidential rollie make obamaso judge jewelry please honorthe persona dope
Kelly Rowland,Street Life,Talk a Good Game,2013,Obama,46.5,"33,307",26.2,14.2,,s never keep promisethis presidential rollie make obamaso judge jewelry please honorthe persona dope
Havoc,Tell Me to My Face,none,2013,Obama,46.5,"34,235",26.2,14.2,, place got leather bombermy intent foul smile ill obamahook havocfor worth i back forthlets get over
Havoc,Tell Me to My Face,none,2013,Obama,46.5,"33,307",26.2,14.2,, place got leather bombermy intent foul smile ill obamahook havocfor worth i back forthlets get over
Fettes Brot,Crazy World,3 is ne Party,2013,Obama,46.5,"34,235",26.2,14.2,,praktikantschütteln sich die handamazon guantanamoobama schiesst osama totjack bauer schreibt mir sm
Fettes Brot,Crazy World,3 is ne Party,2013,Obama,46.5,"33,307",26.2,14.2,,praktikantschütteln sich die handamazon guantanamoobama schiesst osama totjack bauer schreibt mir sm
Skillz,2010 Rap Up,The Rap Up (2002-2012) (10 Year Anniversary),2013,Obama,46.5,"34,235",26.2,14.2,,eand petey pablo need reverenddawg gun airport 911obama still tryna thingthey caught ti three pills 
Skillz,2010 Rap Up,The Rap Up (2002-2012) (10 Year Anniversary),2013,Obama,46.5,"33,307",26.2,14.2,,eand petey pablo need reverenddawg gun airport 911obama still tryna thingthey caught ti three pills 
Brotha Lynch Hung,Body on the Floor,Mannibalector,2013,Obama,46.5,"34,235",26.2,14.2,, spaghetti sauce commano evidence periodmy  going obamamommy left mekillings recipenot accessory tor
Brotha Lynch Hung,Body on the Floor,Mannibalector,2013,Obama,46.5,"33,307",26.2,14.2,, spaghetti sauce commano evidence periodmy  going obamamommy left mekillings recipenot accessory tor
Talib Kweli,Upper Echelon,Prisoner of Conscious,2013,Obama,46.5,"34,235",26.2,14.2,, find hard deal withmy threat cant contained name obama kill listkweli artist wanna be moving darkne
Talib Kweli,Upper Echelon,Prisoner of Conscious,2013,Obama,46.5,"33,307",26.2,14.2,, find hard deal withmy threat cant contained name obama kill listkweli artist wanna be moving darkne
Skillz,2011 Rap Up,The Rap Up (2002-2012) (10 Year Anniversary),2013,Obama,46.5,"34,235",26.2,14.2,,eand petey pablo need reverenddawg gun airport 911obama still tryna thingthey caught ti three pills 
